time,V(1),V(2),V(3),I(V1),I(R1),I(L1),I(C1)
8.000000e-05,1.000000e+00,8.711350e-01,1.471763e+00,-1.288650e-02,1.288650e-02,1.288650e-02,2.930042e+00
8.100000e-05,1.000000e+00,8.771740e-01,1.484347e+00,-1.228260e-02,1.228260e-02,1.228260e-02,2.955808e+00
8.200000e-05,1.000000e+00,8.832751e-01,1.496325e+00,-1.167249e-02,1.167249e-02,1.167249e-02,2.980367e+00
8.300000e-05,1.000000e+00,8.894316e-01,1.507690e+00,-1.105684e-02,1.105684e-02,1.105684e-02,3.003707e+00
8.400000e-05,1.000000e+00,8.956369e-01,1.518436e+00,-1.043631e-02,1.043631e-02,1.043631e-02,3.025816e+00
8.500000e-05,1.000000e+00,9.018843e-01,1.528560e+00,-9.811569e-03,9.811569e-03,9.811569e-03,3.046684e+00
8.600000e-05,1.000000e+00,9.081671e-01,1.538058e+00,-9.183286e-03,9.183286e-03,9.183286e-03,3.066304e+00
8.700000e-05,1.000000e+00,9.144788e-01,1.546925e+00,-8.552118e-03,8.552118e-03,8.552118e-03,3.084667e+00
8.800000e-05,1.000000e+00,9.208128e-01,1.555161e+00,-7.918720e-03,7.918720e-03,7.918720e-03,3.101769e+00
8.900000e-05,1.000000e+00,9.271625e-01,1.562762e+00,-7.283747e-03,7.283747e-03,7.283747e-03,3.117605e+00
9.000000e-05,1.000000e+00,9.335216e-01,1.569728e+00,-6.647844e-03,6.647844e-03,6.647844e-03,3.132172e+00
9.100000e-05,1.000000e+00,9.398835e-01,1.576057e+00,-6.011654e-03,6.011654e-03,6.011654e-03,3.145467e+00
9.200000e-05,1.000000e+00,9.462419e-01,1.581751e+00,-5.375812e-03,5.375812e-03,5.375812e-03,3.157491e+00
9.300000e-05,1.000000e+00,9.525905e-01,1.586810e+00,-4.740948e-03,4.740948e-03,4.740948e-03,3.168243e+00
9.400000e-05,1.000000e+00,9.589232e-01,1.591234e+00,-4.107683e-03,4.107683e-03,4.107683e-03,3.177727e+00
9.500000e-05,1.000000e+00,9.652337e-01,1.595026e+00,-3.476632e-03,3.476632e-03,3.476632e-03,3.185944e+00
9.600000e-05,1.000000e+00,9.715160e-01,1.598189e+00,-2.848399e-03,2.848399e-03,2.848399e-03,3.192900e+00
9.700000e-05,1.000000e+00,9.777642e-01,1.600725e+00,-2.223583e-03,2.223583e-03,2.223583e-03,3.198601e+00
9.800000e-05,1.000000e+00,9.839723e-01,1.602638e+00,-1.602770e-03,1.602770e-03,1.602770e-03,3.203052e+00
9.900000e-05,1.000000e+00,9.901346e-01,1.603932e+00,-9.865385e-04,9.865385e-04,9.865385e-04,3.206262e+00
1.000000e-04,1.000000e+00,9.962454e-01,1.604613e+00,-3.754556e-04,3.754556e-04,3.754556e-04,3.208240e+00
1.010000e-04,1.000000e+00,1.002299e+00,1.604686e+00,2.299218e-04,-2.299218e-04,-2.299218e-04,3.208997e+00
1.020000e-04,1.000000e+00,1.008290e+00,1.604157e+00,8.290483e-04,-8.290483e-04,-8.290483e-04,3.208543e+00
1.030000e-04,1.000000e+00,1.014214e+00,1.603031e+00,1.421390e-03,-1.421390e-03,-1.421390e-03,3.206892e+00
1.040000e-04,1.000000e+00,1.020064e+00,1.601318e+00,2.006426e-03,-2.006426e-03,-2.006426e-03,3.204056e+00
1.050000e-04,1.000000e+00,1.025836e+00,1.599022e+00,2.583645e-03,-2.583645e-03,-2.583645e-03,3.200051e+00
1.060000e-04,1.000000e+00,1.031526e+00,1.596154e+00,3.152553e-03,-3.152553e-03,-3.152553e-03,3.194892e+00
1.070000e-04,1.000000e+00,1.037127e+00,1.592722e+00,3.712665e-03,-3.712665e-03,-3.712665e-03,3.188596e+00
1.080000e-04,1.000000e+00,1.042635e+00,1.588734e+00,4.263511e-03,-4.263511e-03,-4.263511e-03,3.181180e+00
1.090000e-04,1.000000e+00,1.048046e+00,1.584200e+00,4.804637e-03,-4.804637e-03,-4.804637e-03,3.172663e+00
1.100000e-04,1.000000e+00,1.053356e+00,1.579129e+00,5.335601e-03,-5.335601e-03,-5.335601e-03,3.163064e+00
1.110000e-04,1.000000e+00,1.058560e+00,1.573534e+00,5.855974e-03,-5.855974e-03,-5.855974e-03,3.152403e+00
1.120000e-04,1.000000e+00,1.063653e+00,1.567423e+00,6.365346e-03,-6.365346e-03,-6.365346e-03,3.140702e+00
1.130000e-04,1.000000e+00,1.068633e+00,1.560809e+00,6.863319e-03,-6.863319e-03,-6.863319e-03,3.127983e+00
1.140000e-04,1.000000e+00,1.073495e+00,1.553702e+00,7.349510e-03,-7.349510e-03,-7.349510e-03,3.114268e+00
1.150000e-04,1.000000e+00,1.078236e+00,1.546116e+00,7.823554e-03,-7.823554e-03,-7.823554e-03,3.099581e+00
1.160000e-04,1.000000e+00,1.082851e+00,1.538061e+00,8.285099e-03,-8.285099e-03,-8.285099e-03,3.083946e+00
1.170000e-04,1.000000e+00,1.087338e+00,1.529552e+00,8.733811e-03,-8.733811e-03,-8.733811e-03,3.067389e+00
1.180000e-04,1.000000e+00,1.091694e+00,1.520600e+00,9.169372e-03,-9.169372e-03,-9.169372e-03,3.049935e+00
1.190000e-04,1.000000e+00,1.095915e+00,1.511220e+00,9.591478e-03,-9.591478e-03,-9.591478e-03,3.031609e+00
1.200000e-04,1.000000e+00,1.099998e+00,1.501424e+00,9.999843e-03,-9.999843e-03,-9.999843e-03,3.012440e+00
1.210000e-04,1.000000e+00,1.103942e+00,1.491227e+00,1.039420e-02,-1.039420e-02,-1.039420e-02,2.992454e+00
1.220000e-04,1.000000e+00,1.107743e+00,1.480643e+00,1.077429e-02,-1.077429e-02,-1.077429e-02,2.971680e+00
1.230000e-04,1.000000e+00,1.111399e+00,1.469686e+00,1.113988e-02,-1.113988e-02,-1.113988e-02,2.950146e+00
1.240000e-04,1.000000e+00,1.114908e+00,1.458371e+00,1.149076e-02,-1.149076e-02,-1.149076e-02,2.927881e+00
1.250000e-04,1.000000e+00,1.118267e+00,1.446712e+00,1.182671e-02,-1.182671e-02,-1.182671e-02,2.904915e+00
